station_key,station_name,station_dock_in_service,station_geometry,Ridership_per_Dock,longitude,latitude
550,Ashland Ave & 13th St,15,POINT (-87.666507 41.865234),0.53741497,-87.666507,41.865234
551,May St & Cullerton St,11,POINT (-87.654127 41.855136),0.63961039,-87.654127,41.855136
552,Blue Island Ave & 18th St,15,POINT (-87.661535 41.857556),1.01020408,-87.661535,41.857556
553,Washtenaw Ave & Ogden Ave,15,POINT (-87.693450451 41.861930493),0.21666667,-87.693450451,41.861930493
554,Halsted St & Maxwell St,15,POINT (-87.647071 41.864883),1.15408163,-87.647071,41.864883
555,Halsted St & Archer Ave,15,POINT (-87.646795 41.847203),0.29285714,-87.646795,41.847203
556,Halsted St & 21st St,11,POINT (-87.64664999999999 41.85378),0.33673469,-87.64664999999999,41.85378
557,Morgan St & 31st St,11,POINT (-87.65114 41.8378),0.67439703,-87.65114,41.8378
558,Laflin St & Cullerton St,15,POINT (-87.66355991399999 41.854914576),0.51054422,-87.66355991399999,41.854914576
559,Loomis St & Archer Ave,11,POINT (-87.65743495299999 41.84163254),0.39471243,-87.65743495299999,41.84163254
560,Racine Ave & 35th St,15,POINT (-87.655975912 41.830696113),0.2255102,-87.655975912,41.830696113
561,Ashland Ave & Archer Ave,15,POINT (-87.665609859 41.839208684),0.17108844,-87.665609859,41.839208684
562,California Ave & 23rd Pl,11,POINT (-87.695139807 41.849109692),0.32931354,-87.695139807,41.849109692
563,Ogden Ave & Roosevelt Rd,19,POINT (-87.68469707 41.866501483),0.40171858,-87.68469707,41.866501483
564,Western Ave & 28th St,11,POINT (-87.68513144100001 41.841517708),0.1187384,-87.68513144100001,41.841517708
565,LaSalle St & Jackson Blvd,35,POINT (-87.631929 41.878166),0.7483965,-87.631929,41.878166
566,State St & Van Buren St,27,POINT (-87.627844 41.877181),0.77248677,-87.627844,41.877181
567,Michigan Ave & Jackson Blvd,23,POINT (-87.62408000000001 41.87785),1.304126,-87.62408000000001,41.87785
568,Dearborn St & Adams St,19,POINT (-87.629791036 41.879356359),1.05128894,-87.629791036,41.879356359
569,Wabash Ave & Adams St,23,POINT (-87.625688606 41.879472352),1.23757764,-87.625688606,41.879472352
570,LaSalle St & Adams St,15,POINT (-87.63198522100001 41.879344373),0.79455782,-87.63198522100001,41.879344373
571,Avondale Ave & Irving Park Rd,19,POINT (-87.73200200000001 41.953393),0.22824919,-87.73200200000001,41.953393
572,Kilbourn Ave & Milwaukee Ave,15,POINT (-87.74002 41.948818),0.14489796,-87.74002,41.948818
573,Kilbourn Ave & Irving Park Rd,11,POINT (-87.74056899999999 41.953733),0.17996289,-87.74056899999999,41.953733
574,Knox Ave & Montrose Ave,11,POINT (-87.74535899999999 41.960631),0.17207792,-87.74535899999999,41.960631
575,Pulaski Rd & Eddy St (Temp),11,POINT (-87.73102299999999 41.946264),0.2606679,-87.73102299999999,41.946264
576,Milwaukee Ave & Cuyler Ave,11,POINT (-87.74959399999999 41.954468),0.30333952,-87.74959399999999,41.954468
577,Cottage Grove Ave & 47th St,15,POINT (-87.60675500000001 41.809855),0.34965986,-87.60675500000001,41.809855
578,MLK Jr Dr & Pershing Rd,15,POINT (-87.61678000000001 41.8246),0.53707483,-87.61678000000001,41.8246
579,Cottage Grove Ave & 43rd St,11,POINT (-87.60658199999999 41.816499),0.4619666,-87.60658199999999,41.816499
580,Indiana Ave & 40th St,11,POINT (-87.6216 41.82168),0.22820037,-87.6216,41.82168
581,Cottage Grove Ave & Oakwood Blvd,15,POINT (-87.6071 41.822985),0.66972789,-87.6071,41.822985
582,Greenwood Ave & 47th St,15,POINT (-87.59938299999999 41.809835),0.5755102,-87.59938299999999,41.809835
583,MLK Jr Dr & 47th St,11,POINT (-87.61627900000001 41.809851),0.41651206,-87.61627900000001,41.809851
584,Woodlawn Ave & Lake Park Ave,15,POINT (-87.59700514799999 41.81409271),0.49353741,-87.59700514799999,41.81409271
585,Prairie Ave & 43rd St,15,POINT (-87.61941246200001 41.816658893),0.27823129,-87.61941246200001,41.816658893
586,Jefferson St & Monroe St,18,POINT (-87.642746 41.880422),1.4180839,-87.642746,41.880422
587,Canal St & Madison St,35,POINT (-87.639833 41.882091),0.53177843,-87.639833,41.882091
588,Clinton St & Madison St,31,POINT (-87.64106600000001 41.882242),1.50674786,-87.64106600000001,41.882242
589,Canal St & Adams St,47,POINT (-87.639904 41.879255),0.6016066,-87.639904,41.879255
590,Desplaines St & Jackson Blvd,27,POINT (-87.64390899999999 41.878287),1.33805745,-87.64390899999999,41.878287
591,Clinton St & Washington Blvd,31,POINT (-87.64116999999999 41.88338),0.94848585,-87.64116999999999,41.88338
592,Clinton St & Lake St,23,POINT (-87.641823 41.885637),1.63509317,-87.641823,41.885637
593,Desplaines St & Kinzie St,27,POINT (-87.64444785299999 41.888716036),2.82218443,-87.64444785299999,41.888716036
594,Clinton St & Jackson Blvd,23,POINT (-87.63983845700001 41.87811603),0.7324756,-87.63983845700001,41.87811603
595,Desplaines St & Randolph St,23,POINT (-87.644570585 41.88461619),1.37333629,-87.644570585,41.88461619
596,Austin Blvd & Chicago Ave,7,POINT (-87.774704 41.894887),0.16399417,-87.774704,41.894887
597,Central Ave & Chicago Ave,11,POINT (-87.76490200000001 41.894958),0.13821892,-87.76490200000001,41.894958
598,Central Park Ave & North Ave,15,POINT (-87.71663195200001 41.909656876),0.29489796,-87.71663195200001,41.909656876
599,Spaulding Ave & Division St,11,POINT (-87.70921957100001 41.902706594),0.70732839,-87.70921957100001,41.902706594
600,Yates Blvd & 75th St,11,POINT (-87.56644 41.758768),0.10296846,-87.56644,41.758768
601,Cornell Dr & Hayes Dr,11,POINT (-87.584846 41.780595),0.19619666,-87.584846,41.780595
602,Phillips Ave & 79th St,11,POINT (-87.56521100000001 41.75182),0.1080705,-87.56521100000001,41.75182
603,Bennett Ave & 79th St,11,POINT (-87.578496 41.751785),0.04081633,-87.578496,41.751785
604,South Shore Dr & 67th St,15,POINT (-87.567514 41.773643),0.50272109,-87.567514,41.773643
605,Stony Island Ave & 67th St,11,POINT (-87.58533973899999 41.773458499),0.22170686,-87.58533973899999,41.773458499
606,Jeffery Blvd & 71st St,11,POINT (-87.576450114 41.766638237),0.25834879,-87.576450114,41.766638237
