End Station Key,Station Name (Dim Station1),Station Geometry (Dim Station1),Morning,Afternoon,Evening,Night
564,Western Ave & 28th St,POINT (-87.68513144100001 41.841517708),144,23,45,13
565,LaSalle St & Jackson Blvd,POINT (-87.631929 41.878166),2646,1071,482,261
566,State St & Van Buren St,POINT (-87.627844 41.877181),885,1474,1065,577
567,Michigan Ave & Jackson Blvd,POINT (-87.62408000000001 41.87785),868,1887,1739,930
568,Dearborn St & Adams St,POINT (-87.629791036 41.879356359),1795,1125,581,215
569,Wabash Ave & Adams St,POINT (-87.625688606 41.879472352),1446,1374,1294,1397
570,LaSalle St & Adams St,POINT (-87.63198522100001 41.879344373),1193,533,301,198
571,Avondale Ave & Irving Park Rd,POINT (-87.73200200000001 41.953393),304,247,277,46
572,Kilbourn Ave & Milwaukee Ave,POINT (-87.74002 41.948818),84,152,193,37
573,Kilbourn Ave & Irving Park Rd,POINT (-87.74056899999999 41.953733),63,187,167,16
574,Knox Ave & Montrose Ave,POINT (-87.74535899999999 41.960631),73,144,125,39
575,Pulaski Rd & Eddy St (Temp),POINT (-87.73102299999999 41.946264),67,177,252,60
576,Milwaukee Ave & Cuyler Ave,POINT (-87.74959399999999 41.954468),87,224,282,102
577,Cottage Grove Ave & 47th St,POINT (-87.60675500000001 41.809855),157,358,428,101
578,MLK Jr Dr & Pershing Rd,POINT (-87.61678000000001 41.8246),277,590,639,99
579,Cottage Grove Ave & 43rd St,POINT (-87.60658199999999 41.816499),271,342,307,98
580,Indiana Ave & 40th St,POINT (-87.6216 41.82168),82,151,191,60
581,Cottage Grove Ave & Oakwood Blvd,POINT (-87.6071 41.822985),375,754,811,122
582,Greenwood Ave & 47th St,POINT (-87.59938299999999 41.809835),308,611,677,93
583,MLK Jr Dr & 47th St,POINT (-87.61627900000001 41.809851),156,342,354,77
584,Woodlawn Ave & Lake Park Ave,POINT (-87.59700514799999 41.81409271),267,461,628,116
585,Prairie Ave & 43rd St,POINT (-87.61941246200001 41.816658893),136,282,324,88
586,Jefferson St & Monroe St,POINT (-87.642746 41.880422),892,1349,1863,264
587,Canal St & Madison St,POINT (-87.639833 41.882091),1083,1051,1184,224
588,Clinton St & Madison St,POINT (-87.64106600000001 41.882242),2360,2586,3329,607
589,Canal St & Adams St,POINT (-87.639904 41.879255),1873,1844,1427,220
590,Desplaines St & Jackson Blvd,POINT (-87.64390899999999 41.878287),1575,2449,2559,316
591,Clinton St & Washington Blvd,POINT (-87.64116999999999 41.88338),1738,2347,1329,197
592,Clinton St & Lake St,POINT (-87.641823 41.885637),2413,2296,2320,442
593,Desplaines St & Kinzie St,POINT (-87.64444785299999 41.888716036),2303,4650,5967,902
594,Clinton St & Jackson Blvd,POINT (-87.63983845700001 41.87811603),1414,863,523,215
595,Desplaines St & Randolph St,POINT (-87.644570585 41.88461619),1070,1768,2541,502
