End Station Key,Station Name (Dim Station1),Station Geometry (Dim Station1),Morning,Afternoon,Evening,Night
165,Cottage Grove Ave & 51st St,POINT (-87.60661500000001 41.803038),209,442,542,125
166,Lake Park Ave & 47th St,POINT (-87.591875 41.809443),418,704,740,119
167,Cornell Ave & Hyde Park Blvd,POINT (-87.586924 41.802406),689,1960,2344,333
168,Woodlawn Ave & 55th St,POINT (-87.59647099999999 41.795264),404,953,840,207
169,Blackstone Ave & Hyde Park Blvd,POINT (-87.59036800000001 41.802562),448,1108,1509,292
170,Dorchester Ave & 49th St,POINT (-87.59246400000001 41.805772),148,326,321,27
171,Calumet Ave & 51st St,POINT (-87.61805357999999 41.802294651),140,260,242,51
172,Hoyne Ave & Balmoral Ave,POINT (-87.68193199999999 41.979851),84,438,351,23
173,Damen Ave & Sunnyside Ave,POINT (-87.67925799999999 41.96325),413,716,736,132
174,Lincoln Ave & Sunnyside Ave,POINT (-87.684781 41.963004),523,1464,1315,149
175,Washtenaw Ave & Lawrence Ave,POINT (-87.696027 41.968987),300,747,803,98
176,Kedzie Ave & Foster Ave,POINT (-87.709261 41.975672),113,354,353,83
177,Manor Ave & Leland Ave,POINT (-87.70082499999999 41.965875),235,479,463,60
178,Leavitt St & Lawrence Ave,POINT (-87.68400099999999 41.968885),305,591,713,129
179,Western Ave & Leland Ave,POINT (-87.688418627 41.966494532),719,1551,1288,230
180,Francisco Ave & Foster Ave,POINT (-87.70141943899999 41.975632725),272,705,526,77
181,Damen Ave & Foster Ave,POINT (-87.67945903899999 41.975614805),364,1089,1137,205
182,St. Louis Ave & Balmoral Ave,POINT (-87.716114961 41.980394235),149,264,229,27
183,Lincoln Ave & Winona St,POINT (-87.69250255899999 41.974911297),223,636,634,92
184,Christiana Ave & Lawrence Ave,POINT (-87.711830667 41.968354494),192,357,381,139
185,Kedzie Ave & Leland Ave,POINT (-87.708051981 41.966686362),185,434,342,98
186,Rockwell St & Eastwood Ave,POINT (-87.693638494 41.96590014),260,587,565,149
187,Campbell Ave & Montrose Ave,POINT (-87.691165041 41.961525933),225,652,752,148
188,Kedzie Ave & Bryn Mawr Ave,POINT (-87.70892252 41.982397085),104,361,280,38
189,Drake Ave & Montrose Ave,POINT (-87.71656907299999 41.961154076),89,254,321,64
190,Central Park Ave & Bloomingdale Ave,POINT (-87.71675500000001 41.91416599999999),284,627,656,123
191,California Ave & Altgeld St,POINT (-87.69766800000001 41.92669),362,940,1166,266
192,California Ave & Milwaukee Ave,POINT (-87.697153 41.922695),798,2199,2511,487
193,Kedzie Ave & Milwaukee Ave,POINT (-87.70785699999999 41.929567),1263,2936,2768,594
194,Leavitt St & North Ave,POINT (-87.68238902100001 41.910509367),546,1272,1419,280
195,Damen Ave & Charleston St,POINT (-87.67785500000001 41.920082),546,1065,1350,270
196,Western Ave & Winnebago Ave,POINT (-87.687022 41.91552),973,1583,1970,394
197,Stave St & Armitage Ave,POINT (-87.69139200000001 41.917741),334,958,1114,201
198,Milwaukee Ave & Rockwell St,POINT (-87.69265919899999 41.920195562),381,1081,1094,191
199,Kedzie Ave & Palmer Ct,POINT (-87.70732199999999 41.921525),468,1135,1295,257
200,California Ave & North Ave,POINT (-87.6972 41.91044),429,1073,1223,215
201,Leavitt St & Armitage Ave,POINT (-87.68243699999999 41.917805),488,1072,1365,317
202,Campbell Ave & North Ave,POINT (-87.68955600000001 41.910535),494,1064,1480,336
203,Logan Blvd & Elston Ave,POINT (-87.684158 41.929465),698,1771,1278,154
204,Milwaukee Ave & Wabansia Ave,POINT (-87.681391 41.912616),1443,2968,2845,424
205,California Ave & Francis Pl (Temp),POINT (-87.69742280200001 41.918491154),413,875,1078,236
206,Kosciuszko Park,POINT (-87.723777364 41.930585371),188,607,761,205
207,Campbell Ave & Fullerton Ave,POINT (-87.68930700600001 41.924632472),400,824,1075,252
208,Spaulding Ave & Armitage Ave,POINT (-87.710220963 41.917108035),314,647,839,180
209,Humboldt Blvd & Armitage Ave,POINT (-87.701808955 41.917513394),542,1220,1574,299
210,St. Louis Ave & Fullerton Ave,POINT (-87.71449506299999 41.924815597),253,911,1060,204
211,Richmond St & Diversey Ave,POINT (-87.70119513 41.931901969),205,547,622,117
212,Albany Ave & Bloomingdale Ave,POINT (-87.70512646200001 41.914026713),293,727,751,229
213,Dorchester Ave & 63rd St,POINT (-87.591415989 41.780405646),135,272,276,87
214,Lake Park Ave & 56th St,POINT (-87.58778199999999 41.793242),612,1280,1456,298
215,Shore Dr & 55th St,POINT (-87.580715 41.795212),1580,3395,3485,639
216,Rhodes Ave & 71st St,POINT (-87.611726 41.76600000000001),7,8,16,3
217,University Ave & 57th St,POINT (-87.599861 41.79147800000001),1412,1507,808,282
218,Cottage Grove Ave & 67th St,POINT (-87.60563486 41.773720952),58,79,79,11
219,Ellis Ave & 58th St,POINT (-87.60133399999999 41.788746),1406,738,247,115
220,Stony Island Ave & 64th St,POINT (-87.586647 41.778881),57,107,133,49
221,63rd St Beach,POINT (-87.57611976 41.781016372),475,864,679,84
222,Stony Island Ave & 71st St,POINT (-87.586460878 41.766492937),48,108,128,70
223,Ellis Ave & 55th St,POINT (-87.601449773 41.794300621),727,951,643,162
224,Cottage Grove Ave & 63rd St,POINT (-87.60583609299999 41.780600945),69,137,173,44
225,DuSable Museum,POINT (-87.60785217700001 41.791568011),205,221,134,32
226,Eberhart Ave & 61st St,POINT (-87.61330783 41.784141693),97,126,160,45
227,Harper Ave & 59th St,POINT (-87.58831517 41.787942813),245,567,443,156
228,Ellis Ave & 60th St,POINT (-87.601072761 41.785097146),491,1078,1284,312
229,MLK Jr Dr & 56th St,POINT (-87.615853262 41.79342945699999),76,107,136,23
230,MLK Jr Dr & 63rd St,POINT (-87.61594285700001 41.780080637),35,79,75,61
231,Museum of Science and Industry,POINT (-87.58394500899999 41.79172821),493,1182,941,115
233,Damen Ave & Clybourn Ave,POINT (-87.67785600000001 41.931931),698,1181,1010,181
234,Clark St & Armitage Ave,POINT (-87.63628199999999 41.918306),3146,5871,6991,1342
235,Clark St & Drummond Pl,POINT (-87.644336 41.931248),2609,4864,5008,1039
236,Clark St & North Ave,POINT (-87.63194200000001 41.911974),1591,3218,3964,564
237,Larrabee St & Webster Ave,POINT (-87.64414000000001 41.921822),2837,5786,6750,1023
238,Halsted St & Dickens Ave,POINT (-87.64883 41.919936),2110,3553,3999,510
239,Sedgwick St & Webster Ave,POINT (-87.63888799999999 41.922167),1313,2567,3288,582
240,Sheffield Ave & Wrightwood Ave,POINT (-87.65383299999999 41.928712),1357,2973,4074,853
241,Racine Ave & Wrightwood Ave,POINT (-87.65897099999999 41.928887),687,1386,1649,342
242,Wells St & Concord Ln,POINT (-87.63465600000001 41.912133),3860,6515,7596,1382
243,Lake Shore Dr & North Blvd,POINT (-87.62680400000001 41.911722),3824,9152,9164,982
244,Lincoln Ave & Fullerton Ave,POINT (-87.64926 41.925905),2431,4289,4961,1030
245,Clifton Ave & Armitage Ave,POINT (-87.656936 41.91821599999999),1284,1951,2281,495
246,Halsted St & Wrightwood Ave,POINT (-87.64907700000001 41.929143),1462,3012,3978,860
247,Lincoln Ave & Diversey Pkwy,POINT (-87.65861700000001 41.932225),1666,2290,2901,578
248,Sedgwick St & North Ave,POINT (-87.638677 41.911386),1208,2607,3409,583
249,Southport Ave & Wrightwood Ave,POINT (-87.66391299999999 41.928773),993,1755,2417,428
250,Lakeview Ave & Fullerton Pkwy,POINT (-87.63897299999999 41.92585800000001),2458,5320,6239,1121
251,Lake Shore Dr & Diversey Pkwy,POINT (-87.636427 41.932588),2396,5720,6142,885
252,Theater on the Lake,POINT (-87.63083399999999 41.926277),4171,12382,8980,888
253,Bissell St & Armitage Ave,POINT (-87.65222 41.91844),2214,4248,4693,977
254,Ashland Ave & Wrightwood Ave,POINT (-87.66850699999999 41.92883),649,1242,1718,367
255,Halsted St & Willow St,POINT (-87.64875500000001 41.913865),1157,2073,2535,500
256,Sheffield Ave & Willow St,POINT (-87.652855 41.913688),1424,2994,2976,520
257,Larrabee St & Menomonee St,POINT (-87.64331999999999 41.91468),559,1002,1323,217
258,Sheffield Ave & Webster Ave,POINT (-87.653818 41.92154),1512,3229,3994,899
259,Clark St & Wrightwood Ave,POINT (-87.643118 41.929546),2723,4639,4859,982
260,Stockton Dr & Wrightwood Ave,POINT (-87.63874200000001 41.93132),2051,4858,5365,841
261,Clark St & Lincoln Ave,POINT (-87.63460000000001 41.915689),3653,5776,7235,1242
262,Larrabee St & Armitage Ave,POINT (-87.643749 41.918084),1006,2028,2470,486
263,Greenview Ave & Fullerton Ave,POINT (-87.6658 41.92533),1344,2175,2431,640
264,Southport Ave & Clybourn Ave,POINT (-87.663712 41.920771),926,1316,1283,256
265,Wilton Ave & Diversey Pkwy,POINT (-87.65270500000001 41.932418),1808,2712,3361,849
266,Racine Ave & Fullerton Ave,POINT (-87.65840426 41.92556258),1310,1913,2299,667
267,Cannon Dr & Fullerton Ave,POINT (-87.634428785 41.926755988),960,2490,2234,508
268,Winchester Ave & Elston Ave,POINT (-87.67646007499999 41.92409085),509,773,711,135
269,Sheffield Ave & Fullerton Ave,POINT (-87.65370804200001 41.925601882),1284,2033,1977,518
270,Lincoln Park Conservatory,POINT (-87.635824531 41.923931311),1309,3584,3333,802
272,Clark St & Newport St,POINT (-87.654678 41.94454),1215,2970,3941,973
273,Southport Ave & Belmont Ave,POINT (-87.663747668 41.93947775),1012,1788,2245,651
274,Broadway & Barry Ave,POINT (-87.644097805 41.937582316),3320,6736,7350,1345
275,Lake Shore Dr & Belmont Ave,POINT (-87.63919200000001 41.940775),2473,5917,6039,1016
276,Broadway & Belmont Ave,POINT (-87.64545099999999 41.940106),1581,3694,4150,1043
277,Broadway & Cornelia Ave,POINT (-87.646439 41.945529),2034,4652,5869,1364
278,Wilton Ave & Belmont Ave,POINT (-87.65304 41.94018),2521,4673,5829,1160
279,Sheffield Ave & Wellington Ave,POINT (-87.65266200000001 41.936266),2242,3233,4545,973
280,Halsted St & Roscoe St,POINT (-87.64895 41.94367),1837,4435,5202,1267
281,Lincoln Ave & Addison St,POINT (-87.67330799999999 41.946176),339,776,804,163
282,Lincoln Ave & Roscoe St,POINT (-87.67097 41.94334),1349,2167,2401,536
283,Ashland Ave & Wellington Ave,POINT (-87.66980699999999 41.936083),699,1381,1285,245
284,Lincoln Ave & Belmont Ave,POINT (-87.668385 41.939365),1305,2224,2082,382
285,Southport Ave & Roscoe St,POINT (-87.66401999999999 41.943739),1862,4000,4544,881
286,Burling St & Diversey Pkwy,POINT (-87.64775999999999 41.93314),1470,3143,3546,439
287,Southport Ave & Wellington Ave,POINT (-87.66357600000001 41.935733),1430,2118,2667,611
288,Racine Ave & Belmont Ave,POINT (-87.65886500000001 41.939743),1206,2284,3171,717
289,Clark St & Wellington Ave,POINT (-87.64753865799999 41.936496822),2088,4518,4630,938
290,Greenview Ave & Diversey Pkwy,POINT (-87.665936351 41.932589634),514,1022,1385,298
291,Lake Shore Dr & Wellington Ave,POINT (-87.63682901899999 41.936688449),3045,7066,7021,871
292,Bernard St & Elston Ave,POINT (-87.713949 41.949923),75,153,183,81
293,Leavitt St & Belmont Ave,POINT (-87.68328199999999 41.93935399999999),241,559,824,193
294,Albany Ave & Montrose Ave,POINT (-87.705866 41.96104099999999),213,521,511,120
295,Drake Ave & Addison St,POINT (-87.71758199999999 41.947326),59,110,127,29
296,California Ave & Montrose Ave,POINT (-87.69543900000001 41.961068),662,1057,1052,93
297,Western Ave & Roscoe St,POINT (-87.687288 41.943034),415,713,666,115
298,Kimball Ave & Belmont Ave,POINT (-87.711561 41.939398),251,452,531,110
299,Avers Ave & Belmont Ave,POINT (-87.723574 41.939408),153,396,550,147
300,Lincoln Ave & Belle Plaine Ave,POINT (-87.680161446 41.956003551),599,1305,1410,275
301,Damen Ave & Wellington Ave,POINT (-87.67841999999999 41.93588),495,1065,1336,223
302,Seeley Ave & Roscoe St,POINT (-87.679618 41.943403),650,1129,1225,320
303,Leavitt St & Addison St,POINT (-87.683359 41.946655),274,395,487,116
304,Damen Ave & Melrose Ave,POINT (-87.6785 41.9406),362,725,784,181
305,Monticello Ave & Irving Park Rd,POINT (-87.71912818 41.954004839),172,318,331,54
306,Sawyer Ave & Irving Park Rd,POINT (-87.7093108 41.953586179),198,331,392,80
307,Oakley Ave & Irving Park Rd,POINT (-87.686079624 41.954340852),258,555,415,187
308,California Ave & Byron St,POINT (-87.69805111299999 41.952162193),287,675,671,105
309,Troy St & Elston Ave,POINT (-87.70664990100001 41.945243568),227,541,620,133
310,Talman Ave & Addison St,POINT (-87.69461475799999 41.946635831),421,542,536,70
311,California Ave & Fletcher St,POINT (-87.69800775600001 41.938428791),299,864,866,175
312,Central Park Ave & Elbridge Ave,POINT (-87.716889294 41.935337283),126,396,543,130
313,Wood St & Chicago Ave,POINT (-87.67206899999999 41.895634),440,974,1174,236
314,Leavitt St & Division St,POINT (-87.683825 41.902997),612,411,538,90
315,Paulina Ave & North Ave,POINT (-87.67007199999999 41.910337),894,1870,2248,483
316,Damen Ave & Division St,POINT (-87.67843499999999 41.903266),871,1705,2045,364
317,Ashland Ave & Chicago Ave,POINT (-87.66774699999999 41.89596599999999),961,1597,1819,534
318,Wood St & Milwaukee Ave,POINT (-87.672552 41.907655),1445,3387,3507,647
319,California Ave & Division St,POINT (-87.697474 41.903029),785,1268,1160,213
320,Wood St & Augusta Blvd,POINT (-87.6722 41.899181),736,1155,1309,246
321,Damen Ave & Grand Ave,POINT (-87.67684221299999 41.891264346),517,907,945,186
322,Damen Ave & Cortland St,POINT (-87.677335 41.915983),935,2394,2858,476
323,Western Ave & Division St,POINT (-87.687275 41.902893),468,884,1203,343
324,Claremont Ave & Hirsch St,POINT (-87.68585400000001 41.907781),163,390,538,111
325,Walsh Park,POINT (-87.667968 41.91461),550,1111,950,131
326,Marshfield Ave & Cortland St,POINT (-87.668879 41.916017),937,1689,1586,253
327,Damen Ave & Thomas St (Augusta Blvd),POINT (-87.677409 41.901315),785,1551,1837,372
328,Wood St & Hubbard St,POINT (-87.67147299999999 41.889899),543,685,720,58
329,Ashland Ave & Augusta Blvd,POINT (-87.6677 41.899643),626,1233,1505,403
330,Honore St & Division St,POINT (-87.673935 41.903119),1065,2413,2777,408
331,California Ave & Cortez St,POINT (-87.696704 41.900363),523,1243,1035,213
332,Ashland Ave & Division St,POINT (-87.66774699999999 41.90345),2440,4344,4779,1020
333,Western Ave & Walton St,POINT (-87.68659601600001 41.898417689),514,1249,1833,438
334,Damen Ave & Pierce Ave,POINT (-87.67769192899999 41.909396007),2289,4530,4706,743
335,Troy St & North Ave,POINT (-87.70528048700001 41.909769302),475,1023,919,168
337,Orleans St & Elm St,POINT (-87.637715 41.902924),404,916,1198,173
338,Wells St & Elm St,POINT (-87.63432399999999 41.903222),2541,5377,6846,1245
339,Dearborn Pkwy & Delaware Pl,POINT (-87.629912 41.898969),2923,5461,5372,935
340,Clark St & Schiller St,POINT (-87.631501 41.907993),2013,3880,5287,1020
341,State St & Pearson St,POINT (-87.628722 41.897448),1226,1944,2087,920
342,Halsted St & Clybourn Ave,POINT (-87.648128 41.909668),2290,3640,3098,514
343,Clybourn Ave & Division St,POINT (-87.640552 41.904613),811,1427,1653,225
344,Orleans St & Chestnut St (NEXT Apts),POINT (-87.637536 41.898203),1367,1707,1998,569
345,Clark St & Elm St,POINT (-87.63128 41.902973),4219,7647,10094,1763
346,Ritchie Ct & Banks St,POINT (-87.62621700000001 41.906866),1260,2712,3724,587
347,Larrabee St & Kingsbury St,POINT (-87.642884 41.897764),2532,1670,1745,316
348,Larrabee St & North Ave,POINT (-87.6435 41.91021),534,1264,1518,320
349,Wells St & Walton St,POINT (-87.63443006999999 41.89993001),953,1433,1679,335
350,Wells St & Evergreen Ave,POINT (-87.63483000000001 41.906724),2287,5241,6290,1138
351,Clark St & Chicago Ave,POINT (-87.63089000000001 41.89675),1639,2575,3109,805
352,Sedgwick St & Schiller St,POINT (-87.638566 41.907626),391,768,1211,270
353,Franklin St & Chicago Ave,POINT (-87.63566762200001 41.896746973),2325,1844,2316,514
354,Larrabee St & Division St,POINT (-87.643353494 41.90348607),1316,2603,2460,288
355,Larrabee St & Oak St,POINT (-87.64298546799999 41.900219493),799,1269,1241,373
356,Homewood Ave & 115th St,POINT (-87.67070800100001 41.684595072),,2,,
357,Ada St & 113th St,POINT (-87.655475736 41.687561623),,4,2,
358,Vincennes Ave & 104th St,POINT (-87.65686811 41.704925565),2,6,,
359,Hale Ave & 107th St,POINT (-87.66891896700001 41.699206168),2,1,2,
360,Walden Pkwy & 100th St,POINT (-87.667733431 41.712164104),2,4,7,
361,Halsted St & 111th St,POINT (-87.64261186100001 41.692262556),1,2,6,6
362,Major Taylor Trail & 115th St,POINT (-87.645288706 41.684931595),2,6,15,3
363,Racine Ave & Washington Blvd,POINT (-87.656952 41.883073),396,606,607,104
364,Canal St & Taylor St,POINT (-87.63947399999999 41.870257),671,1245,920,106
365,May St & Taylor St,POINT (-87.6554864 41.8694821),669,1780,2242,497
366,Racine Ave & Randolph St,POINT (-87.656853 41.884069),709,762,749,113
367,Canal St & Harrison St,POINT (-87.639573 41.874255),339,459,261,160
368,Halsted St & Roosevelt Rd,POINT (-87.648625 41.867324),569,581,483,179
369,Green St & Madison St,POINT (-87.64878900000001 41.881892),2660,4615,4833,591
370,900 W Harrison St,POINT (-87.649807 41.874754),529,860,944,336
371,Aberdeen St & Monroe St,POINT (-87.655519 41.880419),997,1660,1618,233
372,Aberdeen St & Jackson Blvd,POINT (-87.65478743 41.87772613),1247,2120,2231,234
373,Loomis St & Lexington St,POINT (-87.661501 41.872187),980,2514,3451,786
374,Loomis St & Jackson Blvd,POINT (-87.66200699999999 41.877945),691,1134,1392,226
375,Sangamon St & Washington Blvd,POINT (-87.6511 41.88316500000001),844,1667,1818,257
376,Ada St & Washington Blvd,POINT (-87.66120600000001 41.88283),1027,1597,1708,236
377,Halsted St & Polk St,POINT (-87.64664 41.87184),1066,1257,639,225
378,Aberdeen St & Randolph St,POINT (-87.654264 41.884114),948,1727,1608,215
379,Morgan St & Polk St,POINT (-87.65103000000001 41.871737),887,1386,1666,383
380,Clinton St & Tilden St,POINT (-87.640795 41.875885),397,617,427,171
381,Racine Ave & Congress Pkwy,POINT (-87.65703000000001 41.87464),288,570,722,137
382,Throop St & Taylor St,POINT (-87.65914100000001 41.868968),530,1251,1558,383
383,Green St & Randolph St,POINT (-87.64867 41.883668),1881,3506,3556,297
384,Peoria St & Jackson Blvd,POINT (-87.649617791 41.877641596),1380,2567,2828,558
385,Clinton St & Polk St,POINT (-87.64094913299999 41.87146651800001),137,304,127,35
386,Elizabeth (May) St & Fulton St,POINT (-87.658039927 41.886616486),839,835,826,208
387,Clinton St & Roosevelt Rd,POINT (-87.64108795899999 41.867117783),1159,2104,1471,209
388,Morgan St & Lake St,POINT (-87.652304856 41.885483308),2427,3489,3563,474
389,Avenue O & 134th St,POINT (-87.539671361 41.651867802),5,11,16,9
390,Commercial Ave & 130th St,POINT (-87.550762296 41.659150428),3,2,6,3
391,Torrence Ave & 126th Pl,POINT (-87.55721569100001 41.666312008),,1,,
393,Western Ave & 111th St,POINT (-87.68129736200001 41.691211035),,,1,
394,Lawndale Ave & 111th St,POINT (-87.71288573700001 41.69131919199999),,2,1,
395,Ravenswood Ave & Berteau Ave,POINT (-87.67356700000001 41.957921),448,696,623,57
396,Clarendon Ave & Gordon Ter,POINT (-87.64962851999999 41.958472876),1136,2498,3169,639
397,Southport Ave & Waveland Ave,POINT (-87.66394 41.94815),1747,3429,4176,799
398,Ravenswood Ave & Irving Park Rd,POINT (-87.67393 41.95469),799,1125,1134,146
399,Wolcott (Ravenswood) Ave & Montrose Ave,POINT (-87.67616899999999 41.961406),588,996,1371,273
400,Clark St & Grace St,POINT (-87.659172 41.95078),1239,3184,3029,626
401,Lincoln Ave & Waveland Ave,POINT (-87.67527800000001 41.948797),611,1250,1227,327
402,Southport Ave & Clark St,POINT (-87.664199 41.957081),435,709,624,222
403,Ashland Ave & Belle Plaine Ave,POINT (-87.668835 41.956057),381,654,810,218
404,Paulina St & Montrose Ave,POINT (-87.671387 41.961507),389,712,747,109
405,Broadway & Waveland Ave,POINT (-87.648636 41.949074),2399,4420,4240,887
406,Southport Ave & Irving Park Rd,POINT (-87.66435799999999 41.954177),645,1375,1365,320
407,Ashland Ave & Grace St,POINT (-87.6687 41.950687),619,1212,1132,276
408,Sheridan Rd & Irving Park Rd,POINT (-87.65440600000001 41.954245),1305,2467,2634,852
409,Sheridan Rd & Montrose Ave,POINT (-87.65464 41.96167),1395,3330,3584,788
410,Sheridan Rd & Buena Ave,POINT (-87.654966 41.958494),863,1784,2124,654
411,Clark St & Montrose Ave,POINT (-87.66603600000001 41.961588),557,1172,1311,355
412,Pine Grove Ave & Waveland Ave,POINT (-87.64645278499999 41.949472741),2254,4946,5421,888
413,Pine Grove Ave & Irving Park Rd,POINT (-87.648043 41.954383),1633,3614,4198,749
414,Clarendon Ave & Junior Ter,POINT (-87.649603 41.961004),1292,2678,3051,753
415,Broadway & Sheridan Rd,POINT (-87.64999300000001 41.952833),1396,2325,2672,828
416,Sheffield Ave & Waveland Ave,POINT (-87.65452900000001 41.949399),1674,3888,4353,963
417,Montrose Harbor,POINT (-87.638181 41.963982),1890,5812,4385,169
418,Winchester (Ravenswood) Ave & Balmoral Ave,POINT (-87.67753 41.979762),154,379,340,51
419,Winthrop Ave & Lawrence Ave,POINT (-87.657659 41.968812),513,1175,1225,293
420,Broadway & Argyle St,POINT (-87.65966 41.973815),694,1831,2015,465
421,Broadway & Wilson Ave,POINT (-87.65813900000001 41.965221),1104,2223,2190,589
422,Clarendon Ave & Leland Ave,POINT (-87.650001 41.967968),965,1557,1763,418
423,Damen Ave & Leland Ave,POINT (-87.679028 41.967094),718,1100,1177,210
424,Lakefront Trail & Wilson Ave,POINT (-87.64536099999999 41.965845),1284,2642,2376,90
425,Marine Dr & Ainslie St,POINT (-87.650154 41.9716),1082,2715,2831,702
426,Ravenswood Ave & Lawrence Ave,POINT (-87.67423700000001 41.96909),1483,2180,1985,348
427,Clark St & Leland Ave,POINT (-87.667429 41.96709600000001),857,1995,2048,522
428,Clark St & Winnemac Ave,POINT (-87.66785547100001 41.97334764),942,2123,2083,354
429,Broadway & Berwyn Ave,POINT (-87.65975300000001 41.97835300000001),890,2002,2326,434
430,Sheridan Rd & Lawrence Ave,POINT (-87.654691 41.969517),474,1206,1549,515
431,Clark St & Berwyn Ave,POINT (-87.668047105 41.977996654),1315,2561,2260,320
432,Fairbanks St & Superior St,POINT (-87.620104 41.895748),2329,1398,1071,454
433,St. Clair St & Erie St,POINT (-87.622663 41.894448),8628,3810,2536,1716
434,Streeter Dr & Grand Ave,POINT (-87.612043 41.892278),4079,14509,12427,1405
435,State St & Kinzie St,POINT (-87.62775400000001 41.889187),2773,3575,3598,1278
436,Cityfront Plaza Dr & Pioneer Ct,POINT (-87.622072 41.890573),1772,2205,2314,567
437,Mies van der Rohe Way & Chicago Ave,POINT (-87.62174300000001 41.89691),3786,2670,2361,935
438,Rush St & Hubbard St,POINT (-87.62618499999999 41.890173),1296,1691,1477,399
439,Wabash Ave & Grand Ave,POINT (-87.626761 41.89146599999999),3132,5675,5732,1960
440,Michigan Ave & Oak St,POINT (-87.62377664 41.90096039),3415,6975,5680,1515
441,Michigan Ave & Pearson St,POINT (-87.62351 41.89765999999999),2055,2933,2245,608
442,New St & Illinois St,POINT (-87.618616819 41.890847041),1971,4290,5289,1326
443,Mies van der Rohe Way & Chestnut St,POINT (-87.621915226 41.898586651),2502,3358,3896,1269
444,McClurg Ct & Erie St,POINT (-87.61785400000001 41.894503),3988,2676,2866,1060
445,Lake Shore Dr & Ohio St,POINT (-87.614492 41.89257),1604,3492,4202,1090
446,Rush St & Cedar St,POINT (-87.62769052799999 41.902308701),2296,4198,4456,866
447,Fairbanks Ct & Grand Ave,POINT (-87.62058019600001 41.891847372),2439,4826,5644,1914
448,Rush St & Superior St,POINT (-87.62590803299999 41.895764746),2651,3289,3170,768
449,Latrobe Ave & Chicago Ave,POINT (-87.756895 41.894745),18,37,35,27
450,Kenton Ave & Madison St,POINT (-87.74101800000001 41.880708),12,18,27,19
451,Laramie Ave & Kinzie St,POINT (-87.755527 41.887832),18,21,8,10
452,Central Ave & Harrison St,POINT (-87.764499 41.872993),35,55,52,32
453,Cicero Ave & Flournoy St,POINT (-87.746619 41.872131),8,23,22,14
454,Austin Blvd & Madison St,POINT (-87.77445300000001 41.880281),63,114,102,28
455,Cicero Ave & Quincy St,POINT (-87.74540500000001 41.877613),22,45,65,38
456,Laramie Ave & Madison St,POINT (-87.755337 41.880207),34,47,70,30
457,Central Ave & Lake St,POINT (-87.765469 41.887664),41,61,55,16
458,Cicero Ave & Lake St,POINT (-87.745261 41.886841),15,34,27,11
459,Central Ave & Madison St,POINT (-87.763238 41.880121),30,99,78,27
460,Austin Blvd & Lake St,POINT (-87.774446 41.887919),86,152,208,32
461,Laramie Ave & Gladys Ave,POINT (-87.755285 41.875806),16,12,26,7
462,Canal St & Jackson Blvd,POINT (-87.63936600000001 41.877245),786,431,387,73
463,Wacker Dr & Washington St,POINT (-87.637321 41.883132),1629,994,632,259
464,Canal St & Monroe St,POINT (-87.63953000000001 41.88169),586,485,539,106
465,Franklin St & Lake St,POINT (-87.63549999999999 41.885837),2902,1882,1697,503
466,Franklin St & Monroe St,POINT (-87.63518499999999 41.880317),3189,1394,815,597
467,Franklin St & Adams St (Temp),POINT (-87.63550400700001 41.879434091),1555,870,594,187
468,Franklin St & Jackson Blvd,POINT (-87.63532114100001 41.877707956),2041,2016,2135,535
469,Central Park Blvd & 5th Ave,POINT (-87.71547 41.875679),20,81,69,36
470,Conservatory Dr & Lake St,POINT (-87.71686600000001 41.885502),131,255,154,40
471,Karlov Ave & Madison St,POINT (-87.727907 41.88085),25,46,30,34
472,Pulaski Rd & Lake St,POINT (-87.72649100000001 41.885409),16,46,62,33
473,Pulaski Rd & Congress Pkwy,POINT (-87.72570400000001 41.874325),20,44,37,18
474,Kostner Ave & Lake St,POINT (-87.73541 41.885928),7,17,8,8
475,Kostner Ave & Adams St,POINT (-87.735737 41.877917),44,49,63,34
476,Kedzie Ave & Lake St,POINT (-87.706303744 41.884603285),107,175,246,44
477,Kedzie Ave & Roosevelt Rd,POINT (-87.706496176 41.86649278199999),41,82,102,44
478,Clinton St & 18th St,POINT (-87.640826 41.85795),414,516,570,148
479,State St & 29th St,POINT (-87.626938 41.841707),107,151,194,91
480,Emerald Ave & 28th St,POINT (-87.645368 41.84358),182,526,674,98
481,Burnham Harbor,POINT (-87.613348 41.856268),2572,4060,4048,176
482,Indiana Ave & 26th St,POINT (-87.62248100000001 41.845687),561,802,1122,334
483,Shields Ave & 31st St,POINT (-87.635406 41.838464),166,395,758,115
484,Calumet Ave & 18th St,POINT (-87.619407 41.857611),952,2160,2281,276
485,Emerald Ave & 31st St,POINT (-87.645143 41.838198),374,835,1081,204
486,Wells St & 19th St,POINT (-87.63387900000001 41.856802),159,611,749,47
487,State St & 19th St,POINT (-87.62754200000001 41.856594),403,786,834,157
