Start Station Key,Station Name,Station Geometry,Morning,Afternoon,Evening,Night
79,Eggleston Ave & 69th St,POINT (-87.635876 41.768898),22,25,28,13
80,Halsted St & 73rd St,POINT (-87.64416097700001 41.761605438),5,10,9,7
81,May St & 69th St,POINT (-87.652934 41.768938),12,16,11,5
82,Racine Ave & 65th St,POINT (-87.654308 41.775393),4,23,29,2
83,Halsted St & 59th St,POINT (-87.644874 41.787539),12,28,26,6
84,Racine Ave & 61st St,POINT (-87.654372 41.783189),8,11,6,3
85,Halsted St & 56th St,POINT (-87.644990057 41.792929646),9,18,23,13
86,Halsted St & 63rd St,POINT (-87.644620815 41.779381142),39,98,57,18
87,Wentworth Ave & 63rd St,POINT (-87.629746305 41.780079633),26,27,40,30
88,Halsted St & 69th St,POINT (-87.64461357799999 41.76906172),15,18,28,11
89,Perry Ave & 69th St,POINT (-87.628195929 41.76929309),19,63,25,23
90,Oglesby Ave & 100th St,POINT (-87.565841675 41.713397484),4,17,11,6
92,East End Ave & 87th St,POINT (-87.58280128200001 41.736815214),11,12,15,3
93,Baltimore Ave & 87th St,POINT (-87.54851460499999 41.7373356),14,26,24,6
94,Ewing Ave & Burnham Greenway,POINT (-87.53481388100001 41.712748761),,6,3,
95,Houston Ave & 92nd St,POINT (-87.549700141 41.728204215),10,22,21,2
96,Big Marsh Park,POINT (-87.573823929 41.685877056),9,15,9,
97,Marquette Ave & 89th St,POINT (-87.55834221799999 41.733668791),11,9,5,2
98,Bradley Park,POINT (-87.564591765 41.717878302),1,2,1,
99,Torrence Ave & 106th St,POINT (-87.559726238 41.70280085),1,9,4,
100,Clyde Ave & 87th St,POINT (-87.57274031600001 41.737151464),2,4,3,1
101,Constance Ave & 95th St,POINT (-87.578968406 41.722290741),1,6,9,5
102,Avenue O & 118th St,POINT (-87.53793122299999 41.681001459),,3,3,
103,Burnham Greenway & 105th St,POINT (-87.52823174 41.70457508699999),5,9,6,
104,Phillips Ave & 83rd St,POINT (-87.56506 41.744531),50,71,51,10
105,Exchange Ave & 79th St,POINT (-87.552812 41.751731),33,46,63,12
106,Stony Island Ave & South Chicago Ave,POINT (-87.585337 41.751173),40,29,46,17
107,South Chicago Ave & 83rd St,POINT (-87.575225 41.743921),7,27,23,9
108,South Chicago Ave & Elliot Ave,POINT (-87.580046 41.747363),3,17,4,3
109,Commercial Ave & 83rd St,POINT (-87.551208 41.744615),57,65,56,20
110,State St & 54th St,POINT (-87.625923 41.796642),48,43,54,10
111,Union Ave & Root St,POINT (-87.64327800000001 41.819102),62,147,157,100
112,Racine Ave & Garfield Blvd,POINT (-87.655073 41.794228),47,81,79,15
113,Western Blvd & 48th Pl,POINT (-87.683392 41.805661),50,71,93,24
114,Elizabeth St & 47th St,POINT (-87.656526 41.80839),21,39,20,6
115,Archer (Damen) Ave & 37th St,POINT (-87.683144 41.826712),88,192,215,23
116,Damen Ave & 51st St,POINT (-87.674684 41.800908),20,15,20,11
117,Throop St & 52nd St,POINT (-87.657195 41.79965900000001),20,37,18,3
118,Princeton Ave & Garfield Blvd,POINT (-87.633124 41.794982),22,73,51,18
119,Halsted St & 37th St,POINT (-87.64572 41.82705900000001),150,132,199,30
120,Wentworth Ave & 35th St,POINT (-87.632504 41.830777),72,171,141,27
121,Marshfield Ave & 44th St,POINT (-87.666589 41.813996),31,56,25,8
122,Halsted St & 35th St,POINT (-87.647172 41.830661),199,392,336,55
123,Damen Ave & Pershing Rd,POINT (-87.676597 41.823192),66,213,218,20
124,Seeley Ave & Garfield Blvd,POINT (-87.675478 41.794087),13,32,35,14
125,Morgan St & Pershing Rd,POINT (-87.650931 41.823613),22,36,30,18
126,Hoyne Ave & 47th St,POINT (-87.67718000000001 41.808227),41,54,62,24
127,Wallace St & 35th St,POINT (-87.64129 41.83062899999999),267,359,338,46
128,Ashland Ave & McDowell Ave,POINT (-87.66454 41.80887),16,66,70,11
129,Ashland Ave & 50th St,POINT (-87.664699 41.803023),14,38,32,9
130,Ashland Ave & Pershing Rd,POINT (-87.665577 41.823465),57,99,47,7
131,Wood St & 35th St,POINT (-87.670298309 41.830104654),139,221,153,32
132,Halsted St & 51st St,POINT (-87.645213904 41.80183164),21,32,23,6
133,State St & Pershing Rd,POINT (-87.62656801799999 41.823015238),45,127,134,17
134,Shields Ave & 43rd St,POINT (-87.63481935 41.816207679),7,8,17,
135,Halsted St & 47th Pl,POINT (-87.645616554 41.808133915),123,114,157,27
136,Princeton Ave & 47th St,POINT (-87.63344928799999 41.809317709),87,90,64,36
137,Leavitt St & Archer Ave,POINT (-87.68060445899999 41.82879202),119,126,177,61
138,Eberhart Ave & 91st St,POINT (-87.611829489 41.729267142),16,40,25,3
139,Michigan Ave & 71st St,POINT (-87.621748 41.765286),43,23,4,1
140,State St & 95th St,POINT (-87.62285440000001 41.7218499),7,23,29,8
141,Dauphin Ave & 87th St,POINT (-87.60125756299999 41.73655902300001),4,10,7,7
142,Greenwood Ave & 91st St,POINT (-87.59729862200001 41.728264268),5,6,7,1
143,Stony Island Ave & 90th St,POINT (-87.585743666 41.73139494300001),6,6,6,5
144,Wabash Ave & 83rd St,POINT (-87.622849 41.743316),47,35,25,3
145,Ellis Ave & 83rd St,POINT (-87.599034 41.74412299999999),45,40,26,5
146,Wabash Ave & 87th St,POINT (-87.62263399999999 41.736646),48,68,48,14
147,Vernon Ave & 79th St,POINT (-87.61379000000001 41.75094),36,19,26,11
148,MLK Jr Dr & 83rd St,POINT (-87.6148 41.743116),39,19,14,23
149,Cottage Grove Ave & 78th St,POINT (-87.605026 41.753174),108,57,21,15
150,Greenwood Ave & 79th St,POINT (-87.59755200000001 41.751294),35,51,40,29
151,Vernon Ave & 75th St,POINT (-87.614138 41.758361),35,53,28,15
152,Stony Island Ave & 82nd St,POINT (-87.586005 41.746559),49,52,51,7
153,Evans Ave & 75th St,POINT (-87.60641 41.75849),20,41,38,6
154,Cottage Grove Ave & 83rd St,POINT (-87.60483599999999 41.743441),55,76,42,21
155,Cottage Grove Ave & 71st St,POINT (-87.60495971299999 41.765719037),17,20,14,10
156,Woodlawn Ave & 75th St,POINT (-87.59575100000001 41.75915999999999),18,18,19,4
157,State St & 79th St,POINT (-87.624424 41.750794),24,52,48,53
158,State St & 76th St,POINT (-87.62462099999999 41.756971),8,22,12,5
159,Stony Island Ave & 75th St,POINT (-87.586882871 41.75866967),67,91,54,14
160,Calumet Ave & 71st St,POINT (-87.616917925 41.765508006),46,29,44,15
161,Ellis Ave & 53rd St,POINT (-87.600958115 41.799336263),782,980,829,238
162,Lake Park Ave & 53rd St,POINT (-87.586449896 41.799494294),700,1421,1205,318
163,Kimbark Ave & 53rd St,POINT (-87.594747 41.799568),1118,2158,1819,350
164,Prairie Ave & Garfield Blvd,POINT (-87.618691 41.794853),87,144,132,25
165,Cottage Grove Ave & 51st St,POINT (-87.60661500000001 41.803038),269,551,416,68
166,Lake Park Ave & 47th St,POINT (-87.591875 41.809443),489,717,693,101
167,Cornell Ave & Hyde Park Blvd,POINT (-87.586924 41.802406),1463,2016,1665,271
168,Woodlawn Ave & 55th St,POINT (-87.59647099999999 41.795264),570,1024,693,197
169,Blackstone Ave & Hyde Park Blvd,POINT (-87.59036800000001 41.802562),851,1189,1192,258
170,Dorchester Ave & 49th St,POINT (-87.59246400000001 41.805772),219,400,215,23
171,Calumet Ave & 51st St,POINT (-87.61805357999999 41.802294651),165,246,231,36
172,Hoyne Ave & Balmoral Ave,POINT (-87.68193199999999 41.979851),72,352,296,38
173,Damen Ave & Sunnyside Ave,POINT (-87.67925799999999 41.96325),436,798,730,105
