Start Station Key,Station Name,Station Geometry,Morning,Afternoon,Evening,Night
333,Western Ave & Walton St,POINT (-87.68659601600001 41.898417689),1300,1403,1324,213
334,Damen Ave & Pierce Ave,POINT (-87.67769192899999 41.909396007),1734,4127,4124,1115
335,Troy St & North Ave,POINT (-87.70528048700001 41.909769302),557,1022,848,82
337,Orleans St & Elm St,POINT (-87.637715 41.902924),773,870,880,248
338,Wells St & Elm St,POINT (-87.63432399999999 41.903222),4501,5147,5968,1446
339,Dearborn Pkwy & Delaware Pl,POINT (-87.629912 41.898969),3528,5047,5159,799
340,Clark St & Schiller St,POINT (-87.631501 41.907993),4345,4102,4319,1041
341,State St & Pearson St,POINT (-87.628722 41.897448),1716,2223,2079,714
342,Halsted St & Clybourn Ave,POINT (-87.648128 41.909668),1733,3486,3287,484
343,Clybourn Ave & Division St,POINT (-87.640552 41.904613),1145,1344,1283,220
344,Orleans St & Chestnut St (NEXT Apts),POINT (-87.637536 41.898203),1708,1762,1916,387
345,Clark St & Elm St,POINT (-87.63128 41.902973),6602,7639,8185,1566
346,Ritchie Ct & Banks St,POINT (-87.62621700000001 41.906866),2525,2637,2824,523
347,Larrabee St & Kingsbury St,POINT (-87.642884 41.897764),1743,2489,2227,298
348,Larrabee St & North Ave,POINT (-87.6435 41.91021),974,1258,1250,321
349,Wells St & Walton St,POINT (-87.63443006999999 41.89993001),1652,1834,1751,381
350,Wells St & Evergreen Ave,POINT (-87.63483000000001 41.906724),3193,4793,5604,1479
351,Clark St & Chicago Ave,POINT (-87.63089000000001 41.89675),2231,2726,3090,760
352,Sedgwick St & Schiller St,POINT (-87.638566 41.907626),930,742,854,274
353,Franklin St & Chicago Ave,POINT (-87.63566762200001 41.896746973),1941,2326,2489,478
354,Larrabee St & Division St,POINT (-87.643353494 41.90348607),1258,2586,2491,178
355,Larrabee St & Oak St,POINT (-87.64298546799999 41.900219493),1159,1369,1099,165
357,Ada St & 113th St,POINT (-87.655475736 41.687561623),,4,4,
358,Vincennes Ave & 104th St,POINT (-87.65686811 41.704925565),2,4,1,1
359,Hale Ave & 107th St,POINT (-87.66891896700001 41.699206168),1,3,4,6
360,Walden Pkwy & 100th St,POINT (-87.667733431 41.712164104),4,7,7,
361,Halsted St & 111th St,POINT (-87.64261186100001 41.692262556),1,5,5,6
362,Major Taylor Trail & 115th St,POINT (-87.645288706 41.684931595),3,4,12,
363,Racine Ave & Washington Blvd,POINT (-87.656952 41.883073),433,589,503,100
364,Canal St & Taylor St,POINT (-87.63947399999999 41.870257),629,1037,961,149
365,May St & Taylor St,POINT (-87.6554864 41.8694821),1050,1677,1848,539
366,Racine Ave & Randolph St,POINT (-87.656853 41.884069),426,849,816,181
367,Canal St & Harrison St,POINT (-87.639573 41.874255),245,600,338,104
368,Halsted St & Roosevelt Rd,POINT (-87.648625 41.867324),303,706,833,129
369,Green St & Madison St,POINT (-87.64878900000001 41.881892),2509,3863,3916,1154
370,900 W Harrison St,POINT (-87.649807 41.874754),634,909,973,247
371,Aberdeen St & Monroe St,POINT (-87.655519 41.880419),1332,1452,1285,273
372,Aberdeen St & Jackson Blvd,POINT (-87.65478743 41.87772613),1497,2145,2118,222
373,Loomis St & Lexington St,POINT (-87.661501 41.872187),2027,2586,2736,505
374,Loomis St & Jackson Blvd,POINT (-87.66200699999999 41.877945),906,1108,1053,163
375,Sangamon St & Washington Blvd,POINT (-87.6511 41.88316500000001),1003,1445,1477,520
376,Ada St & Washington Blvd,POINT (-87.66120600000001 41.88283),1414,1455,1451,318
377,Halsted St & Polk St,POINT (-87.64664 41.87184),608,1333,1062,92
378,Aberdeen St & Randolph St,POINT (-87.654264 41.884114),887,1452,1490,348
379,Morgan St & Polk St,POINT (-87.65103000000001 41.871737),903,1560,1636,353
380,Clinton St & Tilden St,POINT (-87.640795 41.875885),459,663,476,90
381,Racine Ave & Congress Pkwy,POINT (-87.65703000000001 41.87464),446,652,648,149
382,Throop St & Taylor St,POINT (-87.65914100000001 41.868968),754,1237,1278,398
383,Green St & Randolph St,POINT (-87.64867 41.883668),1017,3081,3489,877
384,Peoria St & Jackson Blvd,POINT (-87.649617791 41.877641596),2015,2553,2358,456
385,Clinton St & Polk St,POINT (-87.64094913299999 41.87146651800001),65,150,186,129
386,Elizabeth (May) St & Fulton St,POINT (-87.658039927 41.886616486),616,1039,908,133
387,Clinton St & Roosevelt Rd,POINT (-87.64108795899999 41.867117783),739,1678,1654,203
388,Morgan St & Lake St,POINT (-87.652304856 41.885483308),1273,3073,3152,925
389,Avenue O & 134th St,POINT (-87.539671361 41.651867802),4,11,17,5
390,Commercial Ave & 130th St,POINT (-87.550762296 41.659150428),,3,6,3
391,Torrence Ave & 126th Pl,POINT (-87.55721569100001 41.666312008),,1,1,1
394,Lawndale Ave & 111th St,POINT (-87.71288573700001 41.69131919199999),1,1,1,
395,Ravenswood Ave & Berteau Ave,POINT (-87.67356700000001 41.957921),437,740,590,56
396,Clarendon Ave & Gordon Ter,POINT (-87.64962851999999 41.958472876),1881,2722,2559,434
397,Southport Ave & Waveland Ave,POINT (-87.66394 41.94815),2078,3398,3450,886
398,Ravenswood Ave & Irving Park Rd,POINT (-87.67393 41.95469),555,1227,1261,172
399,Wolcott (Ravenswood) Ave & Montrose Ave,POINT (-87.67616899999999 41.961406),680,1132,1181,231
400,Clark St & Grace St,POINT (-87.659172 41.95078),1558,3327,2610,617
401,Lincoln Ave & Waveland Ave,POINT (-87.67527800000001 41.948797),704,1321,1093,205
402,Southport Ave & Clark St,POINT (-87.664199 41.957081),608,804,574,125
403,Ashland Ave & Belle Plaine Ave,POINT (-87.668835 41.956057),463,755,704,134
404,Paulina St & Montrose Ave,POINT (-87.671387 41.961507),470,853,626,114
405,Broadway & Waveland Ave,POINT (-87.648636 41.949074),2639,4387,3898,729
406,Southport Ave & Irving Park Rd,POINT (-87.66435799999999 41.954177),934,1510,1189,279
407,Ashland Ave & Grace St,POINT (-87.6687 41.950687),718,1247,1036,282
408,Sheridan Rd & Irving Park Rd,POINT (-87.65440600000001 41.954245),1628,2817,2387,602
409,Sheridan Rd & Montrose Ave,POINT (-87.65464 41.96167),1956,3300,3008,538
410,Sheridan Rd & Buena Ave,POINT (-87.654966 41.958494),1593,2139,1455,318
411,Clark St & Montrose Ave,POINT (-87.66603600000001 41.961588),829,1411,1075,215
412,Pine Grove Ave & Waveland Ave,POINT (-87.64645278499999 41.949472741),3019,4952,5013,595
413,Pine Grove Ave & Irving Park Rd,POINT (-87.648043 41.954383),2465,3785,3532,564
414,Clarendon Ave & Junior Ter,POINT (-87.649603 41.961004),2036,2858,2706,337
415,Broadway & Sheridan Rd,POINT (-87.64999300000001 41.952833),1723,2623,2353,624
416,Sheffield Ave & Waveland Ave,POINT (-87.65452900000001 41.949399),2219,3498,3513,1267
417,Montrose Harbor,POINT (-87.638181 41.963982),1540,5295,5443,260
418,Winchester (Ravenswood) Ave & Balmoral Ave,POINT (-87.67753 41.979762),164,410,275,33
419,Winthrop Ave & Lawrence Ave,POINT (-87.657659 41.968812),714,1191,1036,348
420,Broadway & Argyle St,POINT (-87.65966 41.973815),1040,2014,1748,338
421,Broadway & Wilson Ave,POINT (-87.65813900000001 41.965221),1103,2291,1857,487
422,Clarendon Ave & Leland Ave,POINT (-87.650001 41.967968),879,1946,1642,267
423,Damen Ave & Leland Ave,POINT (-87.679028 41.967094),927,1199,938,184
424,Lakefront Trail & Wilson Ave,POINT (-87.64536099999999 41.965845),1266,2501,2588,94
425,Marine Dr & Ainslie St,POINT (-87.650154 41.9716),1645,2845,2560,349
426,Ravenswood Ave & Lawrence Ave,POINT (-87.67423700000001 41.96909),1308,2248,2068,255
427,Clark St & Leland Ave,POINT (-87.667429 41.96709600000001),1341,2232,1566,352
428,Clark St & Winnemac Ave,POINT (-87.66785547100001 41.97334764),1211,2094,1703,297
429,Broadway & Berwyn Ave,POINT (-87.65975300000001 41.97835300000001),1160,1986,1971,367
430,Sheridan Rd & Lawrence Ave,POINT (-87.654691 41.969517),782,1529,1280,286
431,Clark St & Berwyn Ave,POINT (-87.668047105 41.977996654),1066,2459,2176,590
432,Fairbanks St & Superior St,POINT (-87.620104 41.895748),842,2225,1354,166
433,St. Clair St & Erie St,POINT (-87.622663 41.894448),2726,6701,5133,795
434,Streeter Dr & Grand Ave,POINT (-87.612043 41.892278),4012,12856,11867,1438
435,State St & Kinzie St,POINT (-87.62775400000001 41.889187),2034,3606,3710,1403
436,Cityfront Plaza Dr & Pioneer Ct,POINT (-87.622072 41.890573),2168,2573,2703,665
437,Mies van der Rohe Way & Chicago Ave,POINT (-87.62174300000001 41.89691),2686,3831,2865,622
438,Rush St & Hubbard St,POINT (-87.62618499999999 41.890173),1073,1736,1778,437
439,Wabash Ave & Grand Ave,POINT (-87.626761 41.89146599999999),2919,5456,5706,1938
440,Michigan Ave & Oak St,POINT (-87.62377664 41.90096039),2980,7188,5880,1342
441,Michigan Ave & Pearson St,POINT (-87.62351 41.89765999999999),1206,3270,3249,492
442,New St & Illinois St,POINT (-87.618616819 41.890847041),3176,4369,4442,1257
443,Mies van der Rohe Way & Chestnut St,POINT (-87.621915226 41.898586651),2630,3768,3944,985
444,McClurg Ct & Erie St,POINT (-87.61785400000001 41.894503),2470,4339,3429,761
445,Lake Shore Dr & Ohio St,POINT (-87.614492 41.89257),2515,3598,3626,902
446,Rush St & Cedar St,POINT (-87.62769052799999 41.902308701),2578,4127,4038,903
447,Fairbanks Ct & Grand Ave,POINT (-87.62058019600001 41.891847372),3008,4716,5212,1753
448,Rush St & Superior St,POINT (-87.62590803299999 41.895764746),1988,3729,3633,683
449,Latrobe Ave & Chicago Ave,POINT (-87.756895 41.894745),39,32,23,16
450,Kenton Ave & Madison St,POINT (-87.74101800000001 41.880708),18,26,22,13
451,Laramie Ave & Kinzie St,POINT (-87.755527 41.887832),12,23,21,7
452,Central Ave & Harrison St,POINT (-87.764499 41.872993),41,50,54,29
453,Cicero Ave & Flournoy St,POINT (-87.746619 41.872131),12,16,10,15
454,Austin Blvd & Madison St,POINT (-87.77445300000001 41.880281),95,112,90,24
455,Cicero Ave & Quincy St,POINT (-87.74540500000001 41.877613),31,52,51,30
456,Laramie Ave & Madison St,POINT (-87.755337 41.880207),25,74,92,17
457,Central Ave & Lake St,POINT (-87.765469 41.887664),31,64,56,12
458,Cicero Ave & Lake St,POINT (-87.745261 41.886841),16,34,34,6
459,Central Ave & Madison St,POINT (-87.763238 41.880121),46,106,63,20
460,Austin Blvd & Lake St,POINT (-87.774446 41.887919),79,140,152,27
461,Laramie Ave & Gladys Ave,POINT (-87.755285 41.875806),19,23,25,3
462,Canal St & Jackson Blvd,POINT (-87.63936600000001 41.877245),302,615,750,81
463,Wacker Dr & Washington St,POINT (-87.637321 41.883132),606,1394,1331,231
464,Canal St & Monroe St,POINT (-87.63953000000001 41.88169),543,783,715,150
465,Franklin St & Lake St,POINT (-87.63549999999999 41.885837),1371,2863,2633,405
466,Franklin St & Monroe St,POINT (-87.63518499999999 41.880317),926,3170,2172,357
467,Franklin St & Adams St (Temp),POINT (-87.63550400700001 41.879434091),459,1516,1061,122
468,Franklin St & Jackson Blvd,POINT (-87.63532114100001 41.877707956),1589,2970,2643,307
469,Central Park Blvd & 5th Ave,POINT (-87.71547 41.875679),38,88,55,16
470,Conservatory Dr & Lake St,POINT (-87.71686600000001 41.885502),101,306,142,21
471,Karlov Ave & Madison St,POINT (-87.727907 41.88085),33,34,30,24
472,Pulaski Rd & Lake St,POINT (-87.72649100000001 41.885409),8,70,52,11
473,Pulaski Rd & Congress Pkwy,POINT (-87.72570400000001 41.874325),23,49,23,12
474,Kostner Ave & Lake St,POINT (-87.73541 41.885928),7,16,14,3
475,Kostner Ave & Adams St,POINT (-87.735737 41.877917),47,48,57,21
476,Kedzie Ave & Lake St,POINT (-87.706303744 41.884603285),140,177,179,32
477,Kedzie Ave & Roosevelt Rd,POINT (-87.706496176 41.86649278199999),36,87,80,23
478,Clinton St & 18th St,POINT (-87.640826 41.85795),418,590,599,84
479,State St & 29th St,POINT (-87.626938 41.841707),130,188,211,36
480,Emerald Ave & 28th St,POINT (-87.645368 41.84358),433,473,474,119
481,Burnham Harbor,POINT (-87.613348 41.856268),2501,3887,4253,212
482,Indiana Ave & 26th St,POINT (-87.62248100000001 41.845687),807,941,852,196
483,Shields Ave & 31st St,POINT (-87.635406 41.838464),312,505,530,102
484,Calumet Ave & 18th St,POINT (-87.619407 41.857611),1752,2001,1543,169
485,Emerald Ave & 31st St,POINT (-87.645143 41.838198),528,854,897,145
486,Wells St & 19th St,POINT (-87.63387900000001 41.856802),101,568,774,43
487,State St & 19th St,POINT (-87.62754200000001 41.856594),482,775,737,125
488,Halsted St & 18th St,POINT (-87.646277 41.857499),572,565,548,119
489,Normal Ave & Archer Ave,POINT (-87.640591 41.849527),244,293,235,44
490,Shields Ave & 28th Pl,POINT (-87.635491 41.842733),271,277,160,41
491,Indiana Ave & 31st St,POINT (-87.62185699999999 41.838842),508,711,800,130
492,MLK Jr Dr & 29th St,POINT (-87.617 41.842052),1444,1578,1707,359
493,Rhodes Ave & 32nd St,POINT (-87.61353299999999 41.836208),641,834,994,127
494,Wentworth Ave & Cermak Rd,POINT (-87.63193130499999 41.853084557),509,1326,1712,247
495,State St & 35th St,POINT (-87.626797557 41.831036314),270,597,702,91
496,State St & 33rd St,POINT (-87.62581299999999 41.834734),604,1350,1240,319
497,Fort Dearborn Dr & 31st St,POINT (-87.60821800000001 41.838556),1793,2726,3445,547
498,Calumet Ave & 35th St,POINT (-87.61803399999999 41.831379),262,437,417,50
499,Wabash Ave & Cermak Rd,POINT (-87.62648799999999 41.852619),365,581,609,147
500,Michigan Ave & 18th St,POINT (-87.62455 41.857813),1900,2621,1960,320
501,Calumet Ave & 33rd St,POINT (-87.61793 41.8349),651,845,881,160
502,Wentworth Ave & 24th St (Temp),POINT (-87.63214051700001 41.850083693),182,383,376,93
503,Calumet Ave & 21st St,POINT (-87.61915374100001 41.854184249),563,773,522,74
504,Wentworth Ave & 33rd St,POINT (-87.631822981 41.834529886),107,229,270,39
505,Lake Park Ave & 35th St,POINT (-87.608799195 41.831274235),733,1024,1276,263
506,McCormick Place,POINT (-87.61883464899999 41.851375173),333,531,442,81
507,Wells St & Huron St,POINT (-87.634362 41.89472199999999),4395,5186,5734,1067
508,Orleans St & Hubbard St,POINT (-87.636618 41.890028),1049,1362,1315,288
509,Orleans St & Merchandise Mart Plaza,POINT (-87.63639000000001 41.888243),1347,2278,2499,464
510,LaSalle Dr & Huron St,POINT (-87.63232600000001 41.894877),1662,2273,2623,810
511,Sedgwick St & Huron St,POINT (-87.638437 41.894666),1861,2415,2169,357
512,Dearborn St & Erie St,POINT (-87.62931800000001 41.893992),4095,5717,6119,1366
513,LaSalle St & Illinois St,POINT (-87.631697 41.890762),1704,3664,4367,1227
514,Wells St & Hubbard St,POINT (-87.634266 41.889906),2411,4183,4188,950
515,Kingsbury St & Kinzie St,POINT (-87.638505772 41.889176833),3948,4697,4949,677
516,Franklin St & Illinois St,POINT (-87.635479867 41.89102331),1978,2581,3062,437
517,Kingsbury St & Erie St,POINT (-87.641697228 41.893808056),3531,3607,3740,574
518,Warren Park West,POINT (-87.688829 42.001785),164,345,434,41
519,Western Ave & Howard St,POINT (-87.690048 42.018901),54,164,128,57
520,Ridge Blvd & Howard St,POINT (-87.68451999999999 42.019276),41,138,82,65
521,Oakley Ave & Touhy Ave,POINT (-87.688243 42.012342),63,123,195,57
522,Warren Park East,POINT (-87.680666145 42.004549622),156,295,259,135
523,Western Ave & Lunt Ave,POINT (-87.69049223899999 42.008594397),348,345,349,76
524,Ridge Blvd & Touhy Ave,POINT (-87.682912644 42.012132277),76,121,111,38
525,Glenwood Ave & Touhy Ave,POINT (-87.66605799999999 42.012701),283,355,230,40
526,Greenview Ave & Jarvis Ave,POINT (-87.66856999999999 42.015962),222,583,427,103
527,Clark St & Jarvis Ave,POINT (-87.675005 42.015963),105,256,200,27
528,Clark St & Lunt Ave,POINT (-87.67419 42.009074),164,381,373,60
529,Sheridan Rd & Columbia Ave,POINT (-87.661406 42.004583),534,915,747,164
530,Wolcott Ave & Fargo Ave,POINT (-87.677725 42.016977),37,90,92,16
531,Bosworth Ave & Howard St,POINT (-87.669563 42.019537),80,147,69,15
532,Paulina St & Howard St,POINT (-87.673573 42.019159),141,349,256,50
533,Clark St & Touhy Ave,POINT (-87.674367115 42.012560115),113,172,198,39
534,Sheridan Rd & Greenleaf Ave,POINT (-87.66241209499999 42.010586563),567,739,592,149
535,Glenwood Ave & Morse Ave,POINT (-87.665502394 42.007971923),539,975,820,202
536,Clark St & Columbia Ave,POINT (-87.672402405 42.004450629),245,369,248,59
537,Sheridan Rd & Loyola Ave,POINT (-87.66119824299999 42.00104378),618,1390,1115,295
538,Clark St & Schreiber Ave,POINT (-87.671377339 41.999251822),352,715,555,90
539,Eastlake Ter & Rogers Ave,POINT (-87.66505792700001 42.020887281),377,654,514,134
540,Paulina St & 18th St,POINT (-87.668745 41.857901),841,1027,780,150
541,Racine Ave & 18th St,POINT (-87.65649499999999 41.858166),1002,1031,793,188
542,Morgan Ave & 14th Pl,POINT (-87.651062 41.862378),729,818,626,99
543,Western Ave & 21st St,POINT (-87.685838 41.854109),338,283,321,66
544,Morgan St & 18th St,POINT (-87.651073 41.858086),629,906,595,202
545,Racine Ave & 15th St,POINT (-87.65662500000001 41.861267),399,375,312,59
546,Damen Ave & Coulter St,POINT (-87.67564 41.8492),179,186,205,32
547,Racine Ave & 13th St,POINT (-87.656959 41.865054),213,240,200,86
548,Western Ave & 24th St,POINT (-87.685109 41.84847),249,167,147,17
549,Damen Ave & Cullerton St,POINT (-87.67603486799999 41.854902589),445,718,713,105
550,Ashland Ave & 13th St,POINT (-87.666507 41.865234),219,611,665,85
551,May St & Cullerton St,POINT (-87.654127 41.855136),364,466,471,78
552,Blue Island Ave & 18th St,POINT (-87.661535 41.857556),720,1146,946,158
553,Washtenaw Ave & Ogden Ave,POINT (-87.693450451 41.861930493),130,276,171,60
554,Halsted St & Maxwell St,POINT (-87.647071 41.864883),653,1239,1192,309
555,Halsted St & Archer Ave,POINT (-87.646795 41.847203),152,306,327,76
556,Halsted St & 21st St,POINT (-87.64664999999999 41.85378),137,264,271,54
557,Morgan St & 31st St,POINT (-87.65114 41.8378),461,481,429,83
558,Laflin St & Cullerton St,POINT (-87.66355991399999 41.854914576),369,497,520,115
559,Loomis St & Archer Ave,POINT (-87.65743495299999 41.84163254),275,268,259,49
560,Racine Ave & 35th St,POINT (-87.655975912 41.830696113),138,240,223,62
561,Ashland Ave & Archer Ave,POINT (-87.665609859 41.839208684),64,160,235,44
562,California Ave & 23rd Pl,POINT (-87.695139807 41.849109692),242,275,172,21
563,Ogden Ave & Roosevelt Rd,POINT (-87.68469707 41.866501483),256,552,618,69
564,Western Ave & 28th St,POINT (-87.68513144100001 41.841517708),46,55,103,51
565,LaSalle St & Jackson Blvd,POINT (-87.631929 41.878166),901,2537,1513,183
566,State St & Van Buren St,POINT (-87.627844 41.877181),637,1638,1366,443
567,Michigan Ave & Jackson Blvd,POINT (-87.62408000000001 41.87785),858,1981,2168,869
568,Dearborn St & Adams St,POINT (-87.629791036 41.879356359),584,1732,1460,137
569,Wabash Ave & Adams St,POINT (-87.625688606 41.879472352),686,1927,1894,1072
570,LaSalle St & Adams St,POINT (-87.63198522100001 41.879344373),394,1090,721,131
571,Avondale Ave & Irving Park Rd,POINT (-87.73200200000001 41.953393),117,286,353,93
572,Kilbourn Ave & Milwaukee Ave,POINT (-87.74002 41.948818),84,142,117,83
573,Kilbourn Ave & Irving Park Rd,POINT (-87.74056899999999 41.953733),69,173,124,22
574,Knox Ave & Montrose Ave,POINT (-87.74535899999999 41.960631),66,156,120,25
575,Pulaski Rd & Eddy St (Temp),POINT (-87.73102299999999 41.946264),145,177,166,74
576,Milwaukee Ave & Cuyler Ave,POINT (-87.74959399999999 41.954468),132,227,240,53
577,Cottage Grove Ave & 47th St,POINT (-87.60675500000001 41.809855),207,385,370,65
578,MLK Jr Dr & Pershing Rd,POINT (-87.61678000000001 41.8246),250,611,630,88
579,Cottage Grove Ave & 43rd St,POINT (-87.60658199999999 41.816499),298,358,257,83
580,Indiana Ave & 40th St,POINT (-87.6216 41.82168),101,138,199,53
581,Cottage Grove Ave & Oakwood Blvd,POINT (-87.6071 41.822985),457,747,684,81
582,Greenwood Ave & 47th St,POINT (-87.59938299999999 41.809835),440,598,558,95
583,MLK Jr Dr & 47th St,POINT (-87.61627900000001 41.809851),175,372,294,50
584,Woodlawn Ave & Lake Park Ave,POINT (-87.59700514799999 41.81409271),311,517,534,88
585,Prairie Ave & 43rd St,POINT (-87.61941246200001 41.816658893),205,292,280,41
586,Jefferson St & Monroe St,POINT (-87.642746 41.880422),1253,1596,1946,205
587,Canal St & Madison St,POINT (-87.639833 41.882091),994,1187,1268,199
588,Clinton St & Madison St,POINT (-87.64106600000001 41.882242),2496,2866,3378,415
589,Canal St & Adams St,POINT (-87.639904 41.879255),1736,1894,1739,172
590,Desplaines St & Jackson Blvd,POINT (-87.64390899999999 41.878287),1737,2713,2432,199
591,Clinton St & Washington Blvd,POINT (-87.64116999999999 41.88338),2529,1421,1619,192
592,Clinton St & Lake St,POINT (-87.641823 41.885637),1764,2699,2440,468
593,Desplaines St & Kinzie St,POINT (-87.64444785299999 41.888716036),3370,5072,5532,957
594,Clinton St & Jackson Blvd,POINT (-87.63983845700001 41.87811603),989,1050,1071,192
595,Desplaines St & Randolph St,POINT (-87.644570585 41.88461619),1497,1976,2154,564
596,Austin Blvd & Chicago Ave,POINT (-87.774704 41.894887),54,82,67,22
597,Central Ave & Chicago Ave,POINT (-87.76490200000001 41.894958),72,120,90,16
598,Central Park Ave & North Ave,POINT (-87.71663195200001 41.909656876),167,386,248,66
599,Spaulding Ave & Division St,POINT (-87.70921957100001 41.902706594),506,544,409,66
600,Yates Blvd & 75th St,POINT (-87.56644 41.758768),53,82,75,12
601,Cornell Dr & Hayes Dr,POINT (-87.584846 41.780595),105,162,130,25
602,Phillips Ave & 79th St,POINT (-87.56521100000001 41.75182),73,68,60,32
603,Bennett Ave & 79th St,POINT (-87.578496 41.751785),15,23,43,7
604,South Shore Dr & 67th St,POINT (-87.567514 41.773643),440,503,448,86
605,Stony Island Ave & 67th St,POINT (-87.58533973899999 41.773458499),120,167,151,40
606,Jeffery Blvd & 71st St,POINT (-87.576450114 41.766638237),109,197,181,70
607,South Shore Dr & 71st St,POINT (-87.565687572 41.76640945699999),590,634,476,83
608,Jeffery Blvd & 67th St,POINT (-87.577142826 41.773517551),171,277,235,47
609,Jeffery Blvd & 76th St,POINT (-87.575839359 41.757120068),44,76,70,21
610,Rainbow Beach,POINT (-87.54938625 41.757871448),84,159,113,21
611,South Shore Dr & 74th St,POINT (-87.55927465000001 41.76218896),180,227,223,37
612,Milwaukee Ave & Grand Ave,POINT (-87.64838399999999 41.891578),2026,3265,3242,908
613,Noble St & Milwaukee Ave,POINT (-87.6626 41.90068),1669,1720,1813,362
614,Ashland Ave & Blackhawk St,POINT (-87.667252 41.907066),1871,2103,2085,391
615,Carpenter St & Huron St,POINT (-87.65344899999999 41.894556),1737,1719,1813,274
616,Eckhart Park,POINT (-87.66098386 41.89637337),1528,1992,2045,402
617,Ashland Ave & Grand Ave,POINT (-87.666611 41.89107199999999),754,975,1061,264
618,Cherry Ave & Blackhawk St,POINT (-87.655618 41.907221),96,249,160,13
619,Ogden Ave & Race Ave,POINT (-87.658751 41.891795),1635,1803,1785,300
620,Sheffield Ave & Kingsbury St,POINT (-87.65310600000001 41.910522),1449,3206,2677,160
621,Elston Ave & Wabansia Ave,POINT (-87.664169 41.912919),327,822,626,89
622,Halsted St & North Branch St,POINT (-87.64847987500001 41.899368439),154,393,416,67
623,Dayton St & North Ave,POINT (-87.649421929 41.910578035),1043,2481,1889,288
624,Ogden Ave & Chicago Ave,POINT (-87.654061273 41.896362458),1410,1964,1910,375
625,Stetson Ave & South Water St,POINT (-87.62232 41.886835),1534,1947,1948,839
626,Wabash Ave & Wacker Pl,POINT (-87.62603 41.886875),1238,3171,3188,1746
627,Michigan Ave & Lake St,POINT (-87.624117 41.886024),2321,5195,5501,2052
628,Columbus Dr & Randolph St,POINT (-87.61952099999999 41.884728),4295,4937,5472,1264
629,Clark St & Randolph St,POINT (-87.63188991 41.884576228),1139,2463,2746,604
630,Dusable Harbor,POINT (-87.612813 41.886976),1432,4370,3546,366
631,Clark St & Lake St,POINT (-87.630876058 41.886020828),1885,3223,3139,871
632,State St & Randolph St,POINT (-87.627733569 41.884730201),1519,3532,3599,1238
633,Field Blvd & South Water St,POINT (-87.61751654700001 41.886349063),1594,2372,2283,537
634,2112 W Peterson Ave,POINT (-87.683593 41.991178),82,304,196,31
635,Western Ave & Granville Ave,POINT (-87.68943828200001 41.994161369),149,354,389,43
636,Maplewood Ave & Peterson Ave,POINT (-87.69336964 41.990236029),68,210,203,32
637,Budlong Woods Library,POINT (-87.69642256100001 41.983664709),106,282,277,49
638,Kildare Ave & Montrose Ave,POINT (-87.73569000000001 41.96108),76,250,169,17
639,Keystone Ave & Montrose Ave,POINT (-87.728970101 41.961108016),138,296,245,37
640,Central Park Ave & 24th St,POINT (-87.715068 41.8481),45,58,39,15
641,California Ave & 21st St,POINT (-87.695742399 41.853804066),177,224,207,27
642,Central Park Ave & Ogden Ave,POINT (-87.715117335 41.854063504),67,88,146,45
643,Kedzie Ave & 21st St,POINT (-87.705073032 41.853533632),82,91,58,17
644,Kedzie Ave & 24th St,POINT (-87.705413746 41.848190945),54,74,72,14
645,Albany Ave & 26th St,POINT (-87.702013013 41.844475014),58,108,105,18
646,Millard Ave & 26th St,POINT (-87.71607220200001 41.8445571),79,129,76,26
647,California Ave & 26th St,POINT (-87.69529592299999 41.844040031),17,86,20,4
648,LaSalle St & Washington St,POINT (-87.63253 41.882664),1032,2434,1379,307
649,Daley Center Plaza,POINT (-87.629634 41.884241),1733,3287,3527,584
650,Michigan Ave & Madison St,POINT (-87.625125 41.882134),1022,2338,1957,539
651,Michigan Ave & Washington St,POINT (-87.624683976 41.883984065),2151,4535,4452,1718
652,Keystone Ave & Fullerton Ave,POINT (-87.72785 41.92459),216,305,161,50
653,Lake Shore Dr & Monroe St,POINT (-87.616743 41.880958),3374,9760,9257,1456
654,Millennium Park,POINT (-87.62408431999999 41.8810317),2182,7341,7180,2709
655,Dearborn St & Monroe St,POINT (-87.629520919 41.881319815),1108,3659,3604,548
